Label,MQ2,MQ3,MQ135,MQ136,MQ137,MQ138
Soy Sauce,560.1111111111111,152.8937908496732,314.87091503267976,96.67483660130719,750.2156862745098,715.9901960784314
Soy Sauce,569.5735537190083,153.61487603305784,326.37685950413226,97.76694214876034,751.6495867768595,727.5190082644629
Soy Sauce,570.9719471947195,159.43564356435644,318.24422442244224,100.53960396039604,749.6039603960396,726.1815181518152
Soy Sauce,588.5645695364238,159.17384105960264,322.6622516556291,103.9387417218543,769.794701986755,737.5099337748344
Soy Sauce,596.9983443708609,147.76655629139074,314.55298013245033,110.70695364238411,762.3890728476821,715.5115894039735
Fish Sauce,138.42036124794745,21.748768472906406,58.50738916256157,24.226973684210527,532.6502463054187,395.04926108374383
Fish Sauce,126.66888519134775,20.261231281198004,53.26289517470882,22.346089850249584,500.63560732113143,393.7487520798669
Fish Sauce,147.13810316139768,21.587354409317804,60.409317803660564,23.81198003327787,542.9900166389351,395.5158069883527
Fish Sauce,129.92763157894737,20.601973684210527,52.97532894736842,23.426688632619438,512.2845394736842,357.9243421052632
Fish Sauce,141.01465798045604,21.060260586319217,51.123778501628664,24.30130293159609,527.9087947882737,355.214983713355
Oyster Sauce,81.88632619439868,18.352553542009886,41.00329489291598,21.467874794069193,429.15815485996706,328.504118616145
Oyster Sauce,105.83770491803278,19.367213114754097,45.824590163934424,22.779967159277504,490.08360655737704,322.8049180327869
Oyster Sauce,122.29344262295082,20.244262295081967,49.252459016393445,24.557377049180328,492.0360655737705,328.0163934426229
Oyster Sauce,98.14975041597337,19.214642262895175,47.402662229617306,22.89351081530782,475.7354409317804,332.43094841930116
Oyster Sauce,90.72413793103448,19.01642036124795,45.85385878489327,22.70888157894737,480.2200328407225,331.1625615763547
Oyster Sauce,100.25748502994011,19.7874251497006,48.622754491017965,23.008982035928145,492.61976047904193,345.60179640718565
Worcestershire Sauce,329.759535655058,42.75290215588723,149.24875621890547,32.48424543946932,667.7678275290216,582.2537313432836
Worcestershire Sauce,321.0639344262295,44.63770491803279,122.26065573770492,35.588524590163935,645.4672131147541,529.4491803278688
