Trial,MQ136,MQ2,MQ3,MQ135,MQ138,MQ137,Label
Trial 1,19,98,17,66,340,404,Fish Sauce
Trial 1,19,98,17,67,339,403,Fish Sauce
Trial 1,19,99,17,66,340,403,Fish Sauce
Trial 1,20,98,17,66,341,404,Fish Sauce
Trial 1,20,99,18,66,341,403,Fish Sauce
Trial 1,20,99,17,66,342,403,Fish Sauce
Trial 1,19,99,17,66,343,403,Fish Sauce
Trial 1,19,99,17,67,344,404,Fish Sauce
Trial 1,20,99,17,66,344,404,Fish Sauce
Trial 1,19,99,18,66,345,405,Fish Sauce
Trial 1,19,99,17,66,345,404,Fish Sauce
Trial 1,19,99,18,66,345,404,Fish Sauce
Trial 1,20,99,17,65,346,405,Fish Sauce
Trial 1,20,100,18,67,346,404,Fish Sauce
Trial 1,19,99,17,66,347,405,Fish Sauce
Trial 1,19,99,17,66,347,405,Fish Sauce
Trial 1,19,100,17,66,347,406,Fish Sauce
Trial 1,20,100,18,66,347,404,Fish Sauce
Trial 1,19,100,17,66,348,406,Fish Sauce
Trial 1,20,100,18,66,347,404,Fish Sauce
Trial 1,19,100,17,66,348,406,Fish Sauce
Trial 1,19,99,18,67,349,405,Fish Sauce
Trial 1,20,100,17,66,349,406,Fish Sauce
Trial 1,20,101,18,66,349,405,Fish Sauce
Trial 1,19,101,18,66,349,405,Fish Sauce
Trial 1,20,100,17,66,350,406,Fish Sauce
Trial 1,19,101,17,66,350,406,Fish Sauce
Trial 1,19,101,17,66,351,407,Fish Sauce
Trial 1,19,101,17,66,351,407,Fish Sauce
Trial 1,20,102,17,66,351,406,Fish Sauce
Trial 1,19,102,18,67,352,407,Fish Sauce
Trial 1,20,102,17,66,352,407,Fish Sauce
Trial 1,20,102,17,66,352,407,Fish Sauce
Trial 1,19,103,18,67,353,407,Fish Sauce
Trial 1,19,102,17,67,353,408,Fish Sauce
Trial 1,20,103,18,66,353,407,Fish Sauce
Trial 1,20,103,17,67,354,407,Fish Sauce
Trial 1,19,103,18,67,354,408,Fish Sauce
Trial 1,19,103,17,67,354,409,Fish Sauce
Trial 1,20,103,18,66,354,407,Fish Sauce
Trial 1,20,103,17,66,355,409,Fish Sauce
Trial 1,19,104,18,66,355,408,Fish Sauce
Trial 1,20,104,17,66,356,409,Fish Sauce
Trial 1,20,103,17,67,356,410,Fish Sauce
Trial 1,20,103,17,66,356,410,Fish Sauce
Trial 1,20,104,17,67,357,410,Fish Sauce
Trial 1,19,104,18,67,357,409,Fish Sauce
Trial 1,20,104,18,67,357,409,Fish Sauce
Trial 1,19,105,18,67,357,410,Fish Sauce
Trial 1,20,105,18,67,358,410,Fish Sauce
Trial 1,20,105,17,67,358,411,Fish Sauce
Trial 1,20,105,18,67,358,411,Fish Sauce
