Label,MQ2,MQ3,MQ135,MQ136,MQ137,MQ138
Soy Sauce,584.0865224625624,133.4475873544093,336.2712146422629,91.56405990016638,764.1131447587354,750.4525790349418
Soy Sauce,575.9417637271215,121.4575707154742,298.87354409317805,100.20798668885192,745.6439267886856,718.432612312812
Soy Sauce,590.3344425956739,136.3477537437604,342.1863560732113,105.66389351081531,765.171381031614,743.0715474209651
Soy Sauce,539.6395663956639,120.86449864498645,261.4065040650407,84.70189701897019,762.5040650406504,706.2140921409214
Soy Sauce,574.7359735973597,128.73927392739273,297.6963696369637,93.8102310231023,773.523102310231,744.6435643564356
Soy Sauce,575.4561983471075,119.81322314049586,292.08429752066115,85.83801652892562,768.0495867768595,742.7950413223141
Soy Sauce,591.3677204658902,132.2063227953411,315.585690515807,96.77537437603993,783.5474209650582,754.820299500832
Soy Sauce,561.6605657237936,118.57903494176372,276.67886855241267,81.01331114808653,760.3843594009984,732.3361064891847
Soy Sauce,572.4646962233169,116.6256157635468,282.6190476190476,84.82758620689656,767.4351395730706,735.7011494252873
Soy Sauce,573.8592471358429,118.13093289689034,275.2291325695581,86.47463175122749,763.5090016366612,723.8248772504091
Soy Sauce,567.9409836065573,117.9983606557377,273.5672131147541,84.89508196721312,759.8098360655738,727.644262295082
Soy Sauce,578.7520798668885,138.18801996672212,302.5540765391015,94.07154742096506,746.2079866888519,724.2396006655574
Soy Sauce,606.110183639399,171.457429048414,362.7813021702838,119.90818030050083,771.7896494156928,761.8781302170283
Soy Sauce,603.375,132.4128289473684,303.05592105263156,95.46710526315789,776.2368421052631,746.6973684210526
Soy Sauce,586.3722871452421,148.5559265442404,318.2938230383973,106.12520868113522,755.8430717863105,739.5993322203673
Soy Sauce,565.0550918196996,158.19031719532555,292.74457429048414,108.2838063439065,738.711185308848,709.5275459098498
Soy Sauce,569.2804674457429,160.4974958263773,290.661101836394,107.39899833055092,738.2804674457429,716.821368948247
Soy Sauce,568.4924874791319,150.20868113522536,287.7762938230384,103.59933222036727,734.3055091819699,710.3155258764608
Soy Sauce,514.4758735440931,97.18968386023295,267.00499168053244,63.56572379367721,735.5191347753744,696.3394342762064
Soy Sauce,525.9484193011647,90.52745424292846,274.7271214642263,61.123128119800334,748.0765391014975,701.6056572379367
Soy Sauce,575.9650582362729,122.7936772046589,323.1763727121464,86.00499168053244,761.5956738768718,730.2662229617305
Soy Sauce,566.1181364392679,127.7703826955075,304.93843594009985,89.30782029950083,751.69384359401,710.5457570715474
Soy Sauce,567.5524126455907,148.69883527454243,314.5723793677205,93.34941763727122,755.2279534109817,747.4442595673877
Soy Sauce,553.8835274542429,136.71214642262896,278.2828618968386,88.96672212978369,741.6738768718802,712.1247920133111
Soy Sauce,608.2346089850249,155.82196339434276,324.1514143094842,107.67054908485856,760.873544093178,729.7920133111481
Soy Sauce,560.1111111111111,152.8937908496732,314.87091503267976,96.67483660130719,750.2156862745098,715.9901960784314
Soy Sauce,569.5735537190083,153.61487603305784,326.37685950413226,97.76694214876034,751.6495867768595,727.5190082644629
Soy Sauce,570.9719471947195,159.43564356435644,318.24422442244224,100.53960396039604,749.6039603960396,726.1815181518152
Soy Sauce,588.5645695364238,159.17384105960264,322.6622516556291,103.9387417218543,769.794701986755,737.5099337748344
Soy Sauce,596.9983443708609,147.76655629139074,314.55298013245033,110.70695364238411,762.3890728476821,715.5115894039735
Soy Sauce,591.8484349258649,161.80395387149917,342.7611202635914,116.001647446458,769.9884678747941,731.1746293245469
Fish Sauce,140.11647254575706,18.53910149750416,75.62229617304493,20.00665557404326,447.7720465890183,389.4675540765391
Fish Sauce,146.76986754966887,18.496688741721854,54.63079470198676,20.705298013245034,422.37417218543044,342.9950331125828
Fish Sauce,121.72212978369384,18.271214642262894,58.630615640599004,20.607321131447588,441.7154742096506,355.1697171381032
Fish Sauce,125.7624584717608,18.14950166112957,58.57142857142857,20.694352159468437,440.87873754152827,354.24916943521595
Fish Sauce,186.57071547420966,21.47920133111481,58.562396006655575,26.816971713810315,495.3777038269551,376.0732113144759
Fish Sauce,147.22349102773245,19.461663947797717,51.39151712887439,23.267536704730833,466.85970636215336,348.3996737357259
Fish Sauce,135.27243066884176,19.143556280587276,49.7373572593801,22.781045751633986,453.91517128874386,338.9363784665579
Fish Sauce,139.63036303630363,19.323432343234323,51.01815181518152,22.85148514851485,466.36138613861385,352.0858085808581
Fish Sauce,130.32682926829267,18.85691056910569,48.90243902439025,22.26829268292683,452.40162601626014,341.4341463414634
Fish Sauce,140.2828618968386,18.321131447587355,76.63560732113145,20.058236272878535,447.0648918469218,384.4841930116473
Fish Sauce,128.52380952380952,20.952380952380953,76.3152709359606,22.563218390804597,549.1642036124795,467.11001642036126
Fish Sauce,153.1747088186356,19.750415973377702,62.81031613976705,22.37271214642263,511.88519134775373,412.80865224625626
Fish Sauce,138.26065573770492,21.508196721311474,79.03934426229509,22.878489326765187,567.6934426229508,478.9032786885246
Fish Sauce,136.57929883138564,20.637729549248746,59.989983305509185,23.006677796327214,543.0333889816361,422.6627712854758
Fish Sauce,141.8914858096828,20.639398998330552,60.242070116861434,22.742904841402336,549.322203672788,427.94824707846414
Fish Sauce,150.25375626043405,20.447412353923205,61.70617696160267,22.90484140233723,564.0767946577629,440.63439065108514
Fish Sauce,139.8269550748752,18.53910149750416,73.9018302828619,20.129783693843596,451.2412645590682,394.53910149750413
Fish Sauce,141.35108153078204,18.64226289517471,74.76539101497504,20.249584026622298,461.01331114808653,404.0881863560732
Fish Sauce,137.06322795341097,18.409317803660567,73.53743760399334,20.044925124792012,451.47254575707154,402.2579034941764
Fish Sauce,147.6422628951747,18.615640599001665,59.470881863560734,20.62063227953411,453.61730449251246,382.28785357737104
Fish Sauce,149.94075587334015,18.876404494382022,61.99897854954035,20.582226762002044,447.1133810010214,389.8304392236976
Fish Sauce,135.63893510815308,18.173044925124792,58.31946755407654,20.221297836938437,462.8685524126456,381.13643926788683
Fish Sauce,166.9883527454243,19.71214642262895,57.983361064891845,22.988352745424294,440.58236272878537,354.2479201331115
Fish Sauce,138.42036124794745,21.748768472906406,58.50738916256157,24.226973684210527,532.6502463054187,395.04926108374383
Fish Sauce,126.66888519134775,20.261231281198004,53.26289517470882,22.346089850249584,500.63560732113143,393.7487520798669
Fish Sauce,147.13810316139768,21.587354409317804,60.409317803660564,23.81198003327787,542.9900166389351,395.5158069883527
Fish Sauce,129.92763157894737,20.601973684210527,52.97532894736842,23.426688632619438,512.2845394736842,357.9243421052632
Fish Sauce,141.01465798045604,21.060260586319217,51.123778501628664,24.30130293159609,527.9087947882737,355.214983713355
Fish Sauce,148.91803278688525,21.1,60.614754098360656,23.44334975369458,533.3180327868853,403.68688524590164
Fish Sauce,135.2413223140496,20.92892561983471,55.48099173553719,22.58677685950413,534.1553719008265,392.74876033057853
